ons_id,result,first_party,second_party,electorate,valid_votes,invalid_votes,majority,con,lab,ld,brexit,green,snp,pc,dup,sf,sdlp,uup,alliance,other,other_winner
N06000015,SF hold,SF,SDLP,79175,49762,209,1620,0,0,0,0,0,0,0,7619,16137,14517,3307,6916,1266,0
E14000937,Con hold,Con,LD,86769,64385,255,11490,32187,10492,20697,0,0,0,0,0,0,0,0,0,1009,0
E14000938,Con hold,Con,Lab,71825,53655,230,20971,31807,10836,8650,0,1493,0,0,0,0,0,0,0,869,0
E14000957,Con hold,Con,Lab,69043,46537,260,14459,27555,13096,5312,0,0,0,0,0,0,0,0,0,574,0
E14000939,Con hold,Con,Lab,75975,49179,202,30838,37338,6500,3225,0,1613,0,0,0,0,0,0,0,503,0
E14000940,Con hold,Con,Lab,80520,57469,298,24004,36791,12787,5452,0,2439,0,0,0,0,0,0,0,0,0
E14000941,Con hold,Con,Lab,86214,62484,291,21275,36258,14983,8744,0,2499,0,0,0,0,0,0,0,0,0
E14000942,Con hold,Con,Lab,90842,66908,266,27761,41755,13994,7891,0,2634,0,0,0,0,0,0,0,634,0
E14000958,Con hold,Con,Lab,70837,48180,190,4147,22914,18767,6499,0,0,0,0,0,0,0,0,0,0,0
E14000943,Con hold,Con,Lab,75351,53784,209,11199,30028,18829,3720,0,1207,0,0,0,0,0,0,0,0,0
E14000944,Lab hold,Lab,Con,62793,37882,80,9585,7688,17273,1514,6446,1303,0,0,0,0,0,0,0,3658,0
E14000945,Con hold,Con,Lab,73668,50005,259,28250,36520,8270,3280,0,1935,0,0,0,0,0,0,0,0,0
E14000946,Con hold,Con,Lab,76201,53489,277,22897,33270,10373,6702,0,3144,0,0,0,0,0,0,0,0,0
E14000947,Con hold,Con,Lab,73118,50746,247,6625,26536,19911,4299,0,0,0,0,0,0,0,0,0,0,0
E14000948,Con hold,Con,Lab,73223,48257,211,10587,27084,16497,2727,0,1949,0,0,0,0,0,0,0,0,0
E14000949,Con hold,Con,Lab,79926,53307,254,18583,32212,13629,5435,0,2031,0,0,0,0,0,0,0,0,0
E14000950,Con hold,Con,Lab,72535,53367,275,21430,33286,11856,6207,0,2018,0,0,0,0,0,0,0,0,0
E14000951,Con hold,Con,Ind,80499,61191,277,14408,30327,7228,6251,0,1466,0,0,0,0,0,0,0,15919,0
E14000952,Con hold,Con,Lab,78455,51466,184,26195,35507,9312,4166,0,1645,0,0,0,0,0,0,0,836,0
E14000953,Con hold,Con,LD,79096,60340,374,8817,32191,4775,23374,0,0,0,0,0,0,0,0,0,0,0
E14000954,Con hold,Con,Lab,77969,54895,246,21630,33038,11408,8015,0,2434,0,0,0,0,0,0,0,0,0
E14000959,Con hold,Con,Lab,70929,49510,273,18393,29141,10748,7499,0,2122,0,0,0,0,0,0,0,0,0
E14000965,Con hold,Con,Lab,72572,51149,193,14377,29992,15615,3175,0,2367,0,0,0,0,0,0,0,0,0
E14000966,Con hold,Con,Lab,65485,43656,173,16428,28192,11764,2469,0,1231,0,0,0,0,0,0,0,0,0
E14000960,LD gain from Con,LD,Con,73727,57599,173,6293,22574,5000,28867,0,1004,0,0,0,0,0,0,0,154,0
E14000967,Lab hold,Lab,Con,73064,42368,143,2946,16079,19025,1827,3591,1411,0,0,0,0,0,0,0,435,0
E14000961,Con hold,Con,Lab,79930,55776,140,16526,31273,14747,5861,0,1609,0,0,0,0,0,0,0,2286,0
E14000968,Con hold,Con,Lab,71562,47683,197,8562,25328,16766,4132,0,1457,0,0,0,0,0,0,0,0,0
E14000962,Lab hold,Lab,Con,75593,47561,167,12209,12661,24870,2668,5396,1966,0,0,0,0,0,0,0,0,0
E14000963,Lab hold,Lab,Con,79061,50313,129,19122,10335,29457,2886,5353,2282,0,0,0,0,0,0,0,0,0
S14000057,SNP gain from Con,SNP,Con,68473,52620,105,9254,17641,4275,2867,0,942,26895,0,0,0,0,0,0,0,0
E14000964,Con hold,Con,LD,68795,51413,111,4280,25365,3553,21085,0,964,0,0,0,0,0,0,0,446,0
E14000969,Lab hold,Lab,Con,65391,41715,145,10039,11656,21695,5043,1918,1403,0,0,0,0,0,0,0,0,0
E14000970,Lab hold,Lab,Con,66649,41156,116,1027,16701,17728,1631,3907,0,0,0,0,0,0,0,0,1189,0
E14000971,Con gain from Lab,Con,Lab,76870,54802,142,5260,27764,22504,2338,2196,0,0,0,0,0,0,0,0,0,0
E14000972,Con gain from Lab Coop,Con,Lab,55419,32070,67,670,14557,13887,1116,1691,819,0,0,0,0,0,0,0,0,0
E14000973,Con gain from Lab,Con,Lab,68298,40134,96,6286,20974,14688,1268,2374,508,0,0,0,0,0,0,0,322,0
E14000974,Con hold,Con,Lab,64491,39604,171,11271,24632,13361,1611,0,0,0,0,0,0,0,0,0,0,0
E14000975,Con hold,Con,Lab,69378,49843,222,19945,31687,11742,4412,0,2002,0,0,0,0,0,0,0,0,0
E14000976,Con hold,Con,Lab,69891,45689,142,13571,27534,13963,2523,0,1048,0,0,0,0,0,0,0,621,0
N06000016,DUP hold,DUP,Alliance,66928,37485,175,7071,1476,0,0,0,790,0,0,17705,555,1994,4023,10634,308,0
E14000977,Con hold,Con,LD,74037,55048,273,19972,33343,6222,13371,0,2112,0,0,0,0,0,0,0,0,0
E14000978,Lab hold,Lab,LD,84783,56513,178,17690,9060,30976,13286,624,2567,0,0,0,0,0,0,0,0,0
E14000979,Lab hold,Lab,Con,72372,50067,155,16417,13778,30195,2969,1768,1357,0,0,0,0,0,0,0,0,0
E14000980,Con gain from Lab Coop,Con,Lab,84537,65930,185,3840,31582,27742,0,1085,4954,0,0,0,0,0,0,0,567,0
E14000981,Con hold,Con,Lab,81910,58308,199,20533,32958,12425,8719,0,2713,0,0,0,0,0,0,0,1493,0
